2025-06-24 16:01:25.562 :: INFO     :: Starting key: 4
2025-06-24 16:01:25.601 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:01:25.630 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:01:25.659 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:01:25.797 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 16:01:25.824 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 16:01:40.157 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:01:41.382 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 16:02:33.540 :: INFO     :: Starting key: 4
2025-06-24 16:02:33.571 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:02:33.598 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:02:33.624 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:02:33.709 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 16:02:33.736 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 16:02:38.987 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:02:40.225 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 16:05:18.172 :: INFO     :: Starting key: 4
2025-06-24 16:05:18.202 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:05:18.226 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:05:18.253 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:05:18.338 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 16:05:18.363 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 16:05:24.385 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:05:25.638 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 16:05:54.732 :: INFO     :: Starting key: 4
2025-06-24 16:05:54.761 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:05:54.787 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:05:54.814 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:05:54.901 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 16:05:54.926 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 16:05:59.607 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:06:00.841 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 16:07:30.041 :: INFO     :: Starting key: 4
2025-06-24 16:07:30.069 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:07:30.095 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:07:30.121 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:07:30.206 :: INFO     :: DS8R::1::OutputLevel=1
2025-06-24 16:07:30.231 :: INFO     :: DS8R::1::Trigger=2
2025-06-24 16:07:30.256 :: INFO     :: DS8R::2::OutputLevel=1
2025-06-24 16:07:30.282 :: INFO     :: DS8R::2::Trigger=2
2025-06-24 16:07:37.082 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:07:38.300 :: INFO     :: Error - Failed connecting to DAQ device
2025-06-24 16:14:06.868 :: INFO     :: Starting key: 4
2025-06-24 16:14:06.898 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:14:06.925 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:14:06.951 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:14:12.762 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:14:13.986 :: INFO     :: DAQ successfully connected!
2025-06-24 16:14:47.504 :: INFO     :: RUN::2025-06-24T16:14:47.239::Index=004
2025-06-24 16:17:56.727 :: INFO     :: Stimulation complete!
2025-06-24 16:17:56.769 :: INFO     :: STOP::2025-06-24_16:17:56.932
2025-06-24 16:17:56.796 :: INFO     :: CANCELED::2025-06-24T16:17:56.794
2025-06-24 16:18:30.439 :: INFO     :: RUN::2025-06-24T16:18:30.220::Index=004
2025-06-24 16:18:31.575 :: INFO     :: START::2025-06-24T16:18:30.220::Index=004
2025-06-24 16:19:39.732 :: INFO     :: CANCELED::2025-06-24T16:19:39.729
2025-06-24 16:19:49.280 :: INFO     :: CANCELED::2025-06-24T16:19:49.278
2025-06-24 16:20:32.307 :: INFO     :: DAQ disconnected
2025-06-24 16:20:37.604 :: INFO     :: Starting key: 5
2025-06-24 16:20:37.632 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:20:37.657 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:20:37.682 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:20:58.038 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:20:59.304 :: INFO     :: DAQ successfully connected!
2025-06-24 16:21:21.400 :: INFO     :: RUN::2025-06-24T16:21:21.345::Index=005
2025-06-24 16:21:22.525 :: INFO     :: START::2025-06-24T16:21:21.345::Index=005
2025-06-24 16:23:08.543 :: INFO     :: DAQ disconnected
2025-06-24 16:23:09.614 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:23:10.790 :: INFO     :: DAQ successfully connected!
2025-06-24 16:23:54.963 :: INFO     :: RUN::2025-06-24T16:23:54.906::Index=005
2025-06-24 16:23:56.093 :: INFO     :: START::2025-06-24T16:23:54.906::Index=005
2025-06-24 16:24:29.332 :: INFO     :: Stimulation complete!
2025-06-24 16:24:29.369 :: INFO     :: STOP::2025-06-24_16:24:29.537
2025-06-24 16:24:29.394 :: INFO     :: CANCELED::2025-06-24T16:24:29.393
2025-06-24 16:28:08.666 :: INFO     :: Starting key: 6
2025-06-24 16:28:08.695 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:28:08.721 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:28:08.748 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:28:15.674 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:28:16.875 :: INFO     :: DAQ successfully connected!
2025-06-24 16:28:24.348 :: INFO     :: RUN::2025-06-24T16:28:24.322::Index=006
2025-06-24 16:28:25.447 :: INFO     :: START::2025-06-24T16:28:24.322::Index=006
2025-06-24 16:30:53.375 :: INFO     :: DAQ disconnected
2025-06-24 16:37:06.644 :: INFO     :: Starting key: 7
2025-06-24 16:37:06.673 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:37:06.698 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:37:06.723 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:37:15.739 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:37:16.997 :: INFO     :: DAQ successfully connected!
2025-06-24 16:37:24.079 :: INFO     :: RUN::2025-06-24T16:37:24.031::Index=007
2025-06-24 16:37:25.161 :: INFO     :: START::2025-06-24T16:37:24.031::Index=007
2025-06-24 16:37:49.559 :: INFO     :: Stimulation complete!
2025-06-24 16:37:49.592 :: INFO     :: STOP::2025-06-24_16:37:49.767
2025-06-24 16:37:49.617 :: INFO     :: CANCELED::2025-06-24T16:37:49.616
2025-06-24 16:39:11.721 :: INFO     :: Starting key: 8
2025-06-24 16:39:11.751 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:39:11.778 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:39:11.806 :: INFO     :: DS8R::1::Enable=1
2025-06-24 16:39:18.699 :: INFO     :: Searching for DAQ device(s)...
2025-06-24 16:39:19.934 :: INFO     :: DAQ successfully connected!
2025-06-24 16:39:23.928 :: INFO     :: RUN::2025-06-24T16:39:23.881::Index=008
2025-06-24 16:39:25.023 :: INFO     :: START::2025-06-24T16:39:23.881::Index=008
2025-06-24 16:39:44.528 :: INFO     :: RUN::2025-06-24T16:39:44.484::Index=009
2025-06-24 16:39:45.624 :: INFO     :: START::2025-06-24T16:39:44.484::Index=009
2025-06-24 16:40:51.413 :: INFO     :: RUN::2025-06-24T16:40:51.324::Index=010
2025-06-24 16:40:52.530 :: INFO     :: START::2025-06-24T16:40:51.324::Index=010
2025-06-24 16:41:48.825 :: INFO     :: RUN::2025-06-24T16:41:48.729::Index=011
2025-06-24 16:41:49.916 :: INFO     :: START::2025-06-24T16:41:48.729::Index=011
2025-06-24 16:42:47.727 :: INFO     :: RUN::2025-06-24T16:42:47.642::Index=012
2025-06-24 16:42:48.845 :: INFO     :: START::2025-06-24T16:42:47.642::Index=012
